Item_ID,Item_Name,Item_Description,Price,Weight (g),Category
1,Zucchini,Premium zucchini hand-picked.,15.46,2483,Vegetables
2,Muffin,Premium muffin no added sugar.,13.04,2196,Bakery
3,Carrot,Organic carrot no added sugar.,5.4,208,Vegetables
4,Granola Bar,Imported granola bar hand-picked.,11.04,2328,Snacks
5,Orange,Delicious orange packed with nutrients.,3.75,664,Fruits
6,Lamb Chops,Locally sourced lamb chops packed with nutrients.,3.65,1419,Meat
7,Fruit Snacks,Low-fat fruit snacks from local farms.,5.39,1453,Snacks
8,Cottage Cheese,Delicious cottage cheese packed with nutrients.,10.87,1948,Dairy
9,Pear,Imported pear with natural ingredients.,8.72,1193,Fruits
10,Cucumber,Organic cucumber with natural ingredients.,6.59,181,Vegetables
11,Flour,Low-fat flour from local farms.,1.73,1050,Pantry
12,Mineral Water,Low-fat mineral water packed with nutrients.,9.17,2585,Beverages
13,Onion,Low-fat onion with natural ingredients.,2.45,1659,Vegetables
14,Pretzels,Organic pretzels with natural ingredients.,0.91,1017,Snacks
15,Roll,Fresh roll with natural ingredients.,17.19,1316,Bakery
16,Turkey,Premium turkey packed with nutrients.,7.58,2272,Meat
17,Carrot,Organic carrot no added sugar.,8.71,2412,Vegetables
18,Baguette,Gluten-free baguette no added sugar.,5.94,1516,Bakery
19,Cereal,Locally sourced cereal hand-picked.,17.9,2529,Pantry
20,Green Tea,Organic green tea from local farms.,9.01,1884,Beverages
21,Bagel,Organic bagel no added sugar.,5.21,2408,Bakery
22,Salt,Organic salt packed with nutrients.,10.89,563,Pantry
23,Sausage,Low-fat sausage with natural ingredients.,9.33,1597,Meat
24,Turkey,Locally sourced turkey hand-picked.,2.5,1289,Meat
25,Cottage Cheese,Fresh cottage cheese hand-picked.,18.26,686,Dairy
26,Pork Chops,Delicious pork chops hand-picked.,10.32,2944,Meat
27,Orange Juice,Low-fat orange juice hand-picked.,8.58,2794,Beverages
28,Frozen Berries,Locally sourced frozen berries no added sugar.,17.85,2211,Frozen
29,Cheese,Premium cheese from local farms.,17.8,1291,Dairy
30,Cream,Delicious cream with natural ingredients.,1.77,1365,Dairy
31,Sardines,Fresh sardines packed with nutrients.,14.87,692,Seafood
32,Lettuce,Low-fat lettuce with natural ingredients.,8.46,367,Vegetables
33,Frozen Corn,Imported frozen corn with natural ingredients.,4.7,428,Frozen
34,Beef Steak,Gluten-free beef steak hand-picked.,8.86,1083,Meat
35,Sour Cream,Organic sour cream from local farms.,5.95,1952,Dairy
36,Cod,Premium cod no added sugar.,7.1,1664,Seafood
37,Frozen Fries,Sugar-free frozen fries from local farms.,17.22,2406,Frozen
38,Frozen Fries,Low-fat frozen fries hand-picked.,4.76,282,Frozen
39,Sausage,Premium sausage packed with nutrients.,2.85,2554,Meat
40,Apple,Locally sourced apple with natural ingredients.,12.78,2654,Fruits
41,Donut,Low-fat donut packed with nutrients.,12.23,1330,Bakery
42,Rice,Low-fat rice hand-picked.,1.24,2736,Pantry
43,Spices,Delicious spices hand-picked.,14.53,1779,Pantry
44,Pretzels,Low-fat pretzels packed with nutrients.,15.26,1133,Snacks
45,Frozen Corn,Organic frozen corn hand-picked.,1.01,389,Frozen
46,Yogurt,Low-fat yogurt with natural ingredients.,1.08,880,Dairy
47,Lettuce,Organic lettuce from local farms.,12.8,1861,Vegetables
48,Ham,Premium ham hand-picked.,11.04,1345,Meat
49,Frozen Nuggets,Sugar-free frozen nuggets no added sugar.,10.19,621,Frozen
50,Orange Juice,Fresh orange juice from local farms.,19.01,2167,Beverages
51,Orange Juice,Gluten-free orange juice packed with nutrients.,2.53,2908,Beverages
52,Yogurt,Organic yogurt packed with nutrients.,6.04,2713,Dairy
53,Tuna,Imported tuna no added sugar.,6.41,1011,Seafood
54,Spices,Locally sourced spices from local farms.,19.58,1074,Pantry
55,Pear,Organic pear no added sugar.,13.88,2413,Fruits
56,Soda,Imported soda hand-picked.,12.51,1548,Beverages
57,Cod,Delicious cod with natural ingredients.,14.39,871,Seafood
58,Cream,Sugar-free cream packed with nutrients.,8.94,2705,Dairy
59,Kiwi,Sugar-free kiwi from local farms.,15.01,1377,Fruits
60,Turkey,Sugar-free turkey from local farms.,6.55,2198,Meat
61,Cod,Fresh cod from local farms.,17.91,1317,Seafood
62,Cod,Sugar-free cod packed with nutrients.,19.03,2688,Seafood
63,Spices,Gluten-free spices packed with nutrients.,15.33,771,Pantry
64,Croissant,Delicious croissant packed with nutrients.,13.18,1838,Bakery
65,Mussels,Locally sourced mussels with natural ingredients.,6.42,2961,Seafood
66,Greek Yogurt,Organic greek yogurt hand-picked.,9.14,2447,Dairy
67,Cheese,Low-fat cheese packed with nutrients.,19.06,1420,Dairy
68,Frozen Nuggets,Locally sourced frozen nuggets packed with nutrients.,3.43,1102,Frozen
69,Pepper,Premium pepper hand-picked.,7.14,1889,Vegetables
70,Lobster,Premium lobster no added sugar.,15.63,2905,Seafood
71,Lemonade,Organic lemonade from local farms.,16.13,1356,Beverages
72,Butter,Premium butter with natural ingredients.,8.77,1882,Dairy
73,Donut,Organic donut hand-picked.,5.01,446,Bakery
74,Lactose-Free Milk,Low-fat lactose-free milk from local farms.,11.46,902,Dairy
75,Frozen Corn,Imported frozen corn from local farms.,1.84,1841,Frozen
76,Crackers,Locally sourced crackers from local farms.,13.74,277,Snacks
77,Ham,Delicious ham with natural ingredients.,11.44,2983,Meat
78,Kiwi,Gluten-free kiwi hand-picked.,4.97,561,Fruits
79,Mango,Locally sourced mango no added sugar.,3.7,884,Fruits
80,Spinach,Organic spinach with natural ingredients.,6.69,827,Vegetables
81,Bacon,Fresh bacon with natural ingredients.,3.97,2388,Meat
82,Sugar,Delicious sugar with natural ingredients.,10.17,1051,Pantry
83,Ground Beef,Low-fat ground beef with natural ingredients.,7.54,2242,Meat
84,Spinach,Delicious spinach packed with nutrients.,1.42,2178,Vegetables
85,Ice Cream,Premium ice cream with natural ingredients.,9.72,339,Frozen
86,Greek Yogurt,Low-fat greek yogurt no added sugar.,16.93,858,Dairy
87,Green Tea,Sugar-free green tea with natural ingredients.,5.77,2995,Beverages
88,Vinegar,Low-fat vinegar from local farms.,3.64,2579,Pantry
89,Lettuce,Fresh lettuce hand-picked.,8.6,2121,Vegetables
90,Cheese,Low-fat cheese with natural ingredients.,14.7,112,Dairy
91,Pear,Sugar-free pear from local farms.,3.85,1423,Fruits
92,Lobster,Delicious lobster packed with nutrients.,19.5,2469,Seafood
93,Lettuce,Low-fat lettuce from local farms.,14.21,2989,Vegetables
94,Roll,Organic roll with natural ingredients.,15.01,779,Bakery
95,Ice Cream,Delicious ice cream from local farms.,4.6,2563,Frozen
96,Sausage,Fresh sausage with natural ingredients.,3.09,351,Meat
97,Zucchini,Delicious zucchini no added sugar.,13.49,2202,Vegetables
98,Popcorn,Imported popcorn packed with nutrients.,13.89,1624,Snacks
99,Greek Yogurt,Imported greek yogurt no added sugar.,5.86,1626,Dairy
100,Ham,Fresh ham no added sugar.,3.42,1850,Meat
101,Frozen Fries,Locally sourced frozen fries no added sugar.,8.73,2182,Frozen
102,Butter,Gluten-free butter from local farms.,4.05,1653,Dairy
103,Croissant,Fresh croissant packed with nutrients.,19.72,1807,Bakery
104,Ice Cream,Low-fat ice cream no added sugar.,8.34,1429,Frozen
105,Orange Juice,Locally sourced orange juice with natural ingredients.,6.41,1537,Beverages
106,Turkey,Delicious turkey from local farms.,2.35,1425,Meat
107,Bun,Low-fat bun packed with nutrients.,11.72,1331,Bakery
108,Croissant,Locally sourced croissant hand-picked.,2.88,116,Bakery
109,Bacon,Organic bacon with natural ingredients.,12.04,132,Meat
110,Bacon,Organic bacon from local farms.,5.14,1318,Meat
111,Ham,Organic ham with natural ingredients.,9.94,1974,Meat
112,Popcorn,Delicious popcorn packed with nutrients.,8.12,2642,Snacks
113,Grapes,Low-fat grapes no added sugar.,4.37,1044,Fruits
114,Ham,Imported ham no added sugar.,0.88,2224,Meat
115,Spices,Delicious spices from local farms.,6.15,2036,Pantry
116,Pasta,Fresh pasta from local farms.,17.8,1971,Pantry
117,Cottage Cheese,Organic cottage cheese with natural ingredients.,3.26,2069,Dairy
118,Frozen Pizza,Imported frozen pizza no added sugar.,10.63,2606,Frozen
119,Cod,Delicious cod from local farms.,9.84,1883,Seafood
120,Frozen Nuggets,Fresh frozen nuggets with natural ingredients.,8.67,2549,Frozen
121,Kiwi,Fresh kiwi from local farms.,16.02,1658,Fruits
122,Smoothie,Fresh smoothie no added sugar.,17.96,2381,Beverages
123,Pretzels,Premium pretzels from local farms.,14.99,2312,Snacks
124,Mineral Water,Organic mineral water no added sugar.,3.5,2637,Beverages
125,Cod,Sugar-free cod packed with nutrients.,8.66,2958,Seafood
126,Grapes,Sugar-free grapes packed with nutrients.,6.98,457,Fruits
127,Pasta,Imported pasta from local farms.,16.71,1315,Pantry
128,Frozen Nuggets,Locally sourced frozen nuggets hand-picked.,3.85,1443,Frozen
129,Orange,Organic orange from local farms.,10.34,156,Fruits
130,Salmon,Low-fat salmon no added sugar.,12.03,1949,Seafood
131,Frozen Pizza,Low-fat frozen pizza no added sugar.,10.2,2456,Frozen
132,Lobster,Sugar-free lobster hand-picked.,18.59,2661,Seafood
133,Frozen Peas,Imported frozen peas with natural ingredients.,5.94,937,Frozen
134,Watermelon,Locally sourced watermelon packed with nutrients.,17.55,447,Fruits
135,Mineral Water,Organic mineral water from local farms.,14.78,2129,Beverages
136,Milk,Imported milk packed with nutrients.,18.99,1994,Dairy
137,Sausage,Locally sourced sausage hand-picked.,13.2,2044,Meat
138,Iced Tea,Locally sourced iced tea no added sugar.,17.31,106,Beverages
139,Pepper,Imported pepper with natural ingredients.,16.61,1613,Vegetables
140,Flour,Gluten-free flour packed with nutrients.,10.29,849,Pantry
141,Iced Tea,Fresh iced tea with natural ingredients.,1.14,2242,Beverages
142,Chips,Locally sourced chips packed with nutrients.,16.78,1093,Snacks
143,Frozen Fries,Locally sourced frozen fries no added sugar.,11.98,1359,Frozen
144,Pie,Premium pie with natural ingredients.,15.25,1768,Bakery
145,Croissant,Imported croissant with natural ingredients.,19.43,657,Bakery
146,Cream,Organic cream hand-picked.,18.81,1607,Dairy
147,Ice Cream,Organic ice cream from local farms.,15.39,459,Frozen
148,Energy Drink,Locally sourced energy drink hand-picked.,19.53,952,Beverages
149,Granola Bar,Imported granola bar from local farms.,16.51,2168,Snacks
150,Kiwi,Imported kiwi with natural ingredients.,15.38,1570,Fruits
151,Strawberry,Sugar-free strawberry from local farms.,3.61,589,Fruits
